,lat,lng,city,country
ernet.in,20.593684,78.96288,,IN
esa.es,40.463667,-3.7492199999999998,,ES
esi.ac.at,47.516231,14.550072,,AT
etecsa.cu,21.521757,-77.78116700000001,,CU
ethz.ch,46.818188,8.227511999999999,,CH
eun.eg,26.820553000000004,30.802497999999996,,EG
eurocontrol.fr,46.227638,2.213749,,FR
ewha.ac.kr,35.907757000000004,127.766922,,KR
fatecsp.br,-14.235004,-51.92528,,BR
fcr.es,40.463667,-3.7492199999999998,,ES
fdu.edu,40.8915,-74.0119,Teaneck,US
fhg.de,51.165690999999995,10.451526,,DE
fisica.edu.uy,-32.522779,-55.765834999999996,,UY
fisilp.edu.ar,-38.416097,-63.616671999999994,,AR
fit.ac.jp,36.204824,138.252924,,JP
flinders.edu.au,-25.274398,133.775136,,AU
fnal.gov,37.751,-97.822,,US
forth.gr,39.074208,21.824312,,GR
fredonia.edu,40.6518,-74.3229,Garwood,US
free.net,55.7386,37.6068,,RU
fsr.ac.ma,31.791702,-7.09262,,MA
fsu.edu,30.4425,-84.2986,Tallahassee,US
fu-berlin.de,51.165690999999995,10.451526,,DE
fudan.ac.cn,35.86166,104.195397,,CN
fudan.edu.cn,35.86166,104.195397,,CN
fukui-u.ac.jp,36.204824,138.252924,,JP
fukuoka-edu.ac.jp,36.204824,138.252924,,JP
funrei.br,-14.235004,-51.92528,,BR
fuw.edu.pl,51.919438,19.145135999999997,,PL
fz-juelich.de,51.165690999999995,10.451526,,DE
fz-rossendorf.de,51.165690999999995,10.451526,,DE
fzu.cz,49.817492,15.472961999999999,,CZ
gagarinclub.ru,61.52401,105.31875600000001,,RU
galactica.it,41.87194,12.56738,,IT
gatech.edu,33.7763,-84.398,Atlanta,US
gda.pl,51.919438,19.145135999999997,,PL
gifu-cwc.ac.jp,36.204824,138.252924,,JP
gluk.org,50.3307,30.4684,Khotiv,UA
gmd.de,51.165690999999995,10.451526,,DE
gmx.de,51.165690999999995,10.451526,,DE
gno.de,51.165690999999995,10.451526,,DE
go.jp,36.204824,138.252924,,JP
gpi.ru,61.52401,105.31875600000001,,RU
gscas.ac.cn,35.86166,104.195397,,CN
gsi.de,51.165690999999995,10.451526,,DE
gsw.edu,32.0404,-84.2153,Americus,US
gunma-ct.ac.jp,36.204824,138.252924,,JP
gursey.gov.tr,38.963745,35.243322,,TR
gwdg.de,51.165690999999995,10.451526,,DE
haifa.ac.il,31.046051000000002,34.851612,,IL
hanyang.ac.kr,35.907757000000004,127.766922,,KR
harc.edu,32.7787,-96.8217,Dallas,US
harvard.edu,30.0866,-94.1274,Beaumont,US
hawaii.edu,21.3117,-157.83,Honolulu,US
hdd.se,60.128161,18.643501,,SE
helsinki.fi,61.92411,25.748151,,FI
hepi.edu.ge,42.315407,43.356891999999995,,GE
hi.is,64.96305100000001,-19.020835,,IS
hioslo.no,60.472024,8.468946,,NO
hiroshima-u.ac.jp,36.204824,138.252924,,JP
hks.se,60.128161,18.643501,,SE
hokkyodai.ac.jp,36.204824,138.252924,,JP
hokudai.ac.jp,36.204824,138.252924,,JP
honam.ac.kr,35.907757000000004,127.766922,,KR
hotbox.ru,61.52401,105.31875600000001,,RU
hotmail.com,37.751,-97.822,,US
hotmail.kg,41.20438,74.766098,,KG
howard.edu,38.8933,-77.0146,Washington,US
hp.com,37.751,-97.822,,US
hu-berlin.de,51.165690999999995,10.451526,,DE
huji.ac.il,31.046051000000002,34.851612,,IL
hull.ac.uk,53.7167,-0.3333,Hull,GB
hun.edu.tr,38.963745,35.243322,,TR
hunnu.edu.cn,35.86166,104.195397,,CN
hut.fi,61.92411,25.748151,,FI
hw.ac.uk,55.9,-3.3,Currie,GB
hws.edu,42.8637,-76.9913,Geneva,US
hyogo-u.ac.jp,36.204824,138.252924,,JP
hzuniv.edu.cn,35.86166,104.195397,,CN
iaa.es,40.463667,-3.7492199999999998,,ES
iafe.edu.ar,-38.416097,-63.616671999999994,,AR
iap.fr,46.227638,2.213749,,FR
iapcm.ac.cn,35.86166,104.195397,,CN
ias.edu,30.0866,-94.1274,Beaumont,US
iasbs.ac.ir,32.427908,53.68804599999999,,IR
iastate.edu,42.036,-93.4652,Ames,US
ibaraki.ac.jp,36.204824,138.252924,,JP
ibm.com,37.751,-97.822,,US
ibp.fr,46.227638,2.213749,,FR
ibrae.ac.ru,61.52401,105.31875600000001,,RU
ic.ac.uk,51.4833,-0.1667,South Kensington,GB
icra.it,41.87194,12.56738,,IT
id.ru,61.52401,105.31875600000001,,RU
ifa.ro,45.943160999999996,24.96676,,RO
ifae.es,40.463667,-3.7492199999999998,,ES
ifh.de,51.165690999999995,10.451526,,DE
ifj.edu.pl,51.919438,19.145135999999997,,PL
ihep.ac.cn,35.86166,104.195397,,CN
ihep.su,55.7386,37.6068,,RU
ihes.fr,46.227638,2.213749,,FR
iitb.ac.in,20.593684,78.96288,,IN
iitk.ac.in,20.593684,78.96288,,IN
ijs.si,46.151241,14.995463,,SI
imamod.ru,61.52401,105.31875600000001,,RU
in.edu.uz,41.377491,64.585262,,UZ
in2p3.fr,46.227638,2.213749,,FR
indiana.edu,39.1401,-86.5083,Bloomington,US
inf.cu,21.521757,-77.78116700000001,,CU
infn.it,41.87194,12.56738,,IT
infocity.de,51.165690999999995,10.451526,,DE
inje.ac.kr,35.907757000000004,127.766922,,KR
inr.ac.ru,61.52401,105.31875600000001,,RU
inta.es,40.463667,-3.7492199999999998,,ES
iol.it,41.87194,12.56738,,IT
iphy.ac.cn,35.86166,104.195397,,CN
ipicyt.edu.mx,23.634501,-102.552784,,MX
ipm.ac.ir,32.427908,53.68804599999999,,IR
ipm.ir,32.427908,53.68804599999999,,IR
ippt.gov.pl,51.919438,19.145135999999997,,PL
ipu.ac.jp,36.204824,138.252924,,JP
irb.hr,45.1,15.2,,HR
isical.ac.in,20.593684,78.96288,,IN
isu.ru,61.52401,105.31875600000001,,RU
it-chiba.ac.jp,36.204824,138.252924,,JP
it-hiroshima.ac.jp,36.204824,138.252924,,JP
ita.br,-14.235004,-51.92528,,BR
itb.ac.id,-0.789275,113.921327,,ID
itep.ru,61.52401,105.31875600000001,,RU
itm.edu.my,4.210483999999999,101.97576600000001,,MY
itp.ac.cn,35.86166,104.195397,,CN
itp.ac.ru,61.52401,105.31875600000001,,RU
itu.edu.tr,38.963745,35.243322,,TR
iu-bremen.de,51.165690999999995,10.451526,,DE
iun.edu,39.1401,-86.5083,Bloomington,US
iut.ac.ir,32.427908,53.68804599999999,,IR
ivic.ve,6.42375,-66.58973,,VE
iyte.edu.tr,38.963745,35.243322,,TR
jamia.net,42.5089,-71.2004,Burlington,US
jhu.edu,39.3265,-76.6048,Baltimore,US
jinr.ru,61.52401,105.31875600000001,,RU
jl.cn,35.86166,104.195397,,CN
jlu.edu.cn,35.86166,104.195397,,CN
js.cn,35.86166,104.195397,,CN
ju.edu.jo,30.585164000000002,36.238414,,JO
jussieu.fr,46.227638,2.213749,,FR
jyu.fi,61.92411,25.748151,,FI
kaist.ac.kr,35.907757000000004,127.766922,,KR
kanazawa-gu.ac.jp,36.204824,138.252924,,JP
kanazawa-u.ac.jp,36.204824,138.252924,,JP
kangwon.ac.kr,35.907757000000004,127.766922,,KR
kau.se,60.128161,18.643501,,SE
kazan-spu.ru,61.52401,105.31875600000001,,RU
kcl.ac.uk,51.5085,-0.1257,London,GB
kdcnet.ac.jp,36.204824,138.252924,,JP
keio.ac.jp,36.204824,138.252924,,JP
kek.jp,36.204824,138.252924,,JP
kemerovo.su,55.7386,37.6068,,RU
kennesaw.edu,34.0287,-84.6047,Kennesaw,US
kfa-juelich.de,51.165690999999995,10.451526,,DE
kfki.hu,47.162494,19.503304,,HU
kharkov.ua,48.379433,31.16558,,UA
khu.ac.kr,35.907757000000004,127.766922,,KR
kiev.ua,48.379433,31.16558,,UA
kindai.ac.jp,36.204824,138.252924,,JP
kisarazu.ac.jp,36.204824,138.252924,,JP
kitasato-u.ac.jp,36.204824,138.252924,,JP
knu.ac.kr,35.907757000000004,127.766922,,KR
kobe-kiu.ac.jp,36.204824,138.252924,,JP
kobe-u.ac.jp,36.204824,138.252924,,JP
kochi-tech.ac.jp,36.204824,138.252924,,JP
komisc.ru,61.52401,105.31875600000001,,RU
korea.ac.kr,35.907757000000004,127.766922,,KR
kpu-m.ac.jp,36.204824,138.252924,,JP
krg.kz,48.019573,66.923684,,KZ
krsu.edu.kg,41.20438,74.766098,,KG
